Address,Bytecode,decompiled,violations,warnings,conflicts,patterns,status
ethereum-testnet-sepolia-worldchain-1_0xBD04B1B560A30cB3DA471574bB38F069F9C97399,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
fraxtal-mainnet_0x4bdF20477744Ec5F9DE738b5cC9ACd01763905ee,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
fraxtal-mainnet_0xdd8aF6046349EDFD40123E0b616286cEC08010ed,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
matic-mainnet_0x849c5ED5a80F5B408Dd4969b78c2C8fdf0565Bfe,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
plasma-mainnet_0x02A4D69cFfeC00Fbf7F3B60c93e3529Dfc58894d,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
plasma-mainnet_0xAEf7A922931848d2e731D5914f428b4E851d1Ad5,,False,,,,,True
plasma-mainnet_0xD6e3c0089f6c260109A2a54D2441D5D4743801CD,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sei-mainnet_0x258Fc917b8de98b4aA0d38776E95dcce9e7EC8aC,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sei-mainnet_0xAba60dA7E88F7E8f5868C2B6dE06CB759d693af0,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sei-mainnet_0xE67E30B1b4F80A35852488757C3efc093903651A,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sonic-mainnet_0x2961Cb47b5111F38d75f415c21ceB4120ddd1b69,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sonic-mainnet_0x5931822f394baBC2AACF4588E98FC77a9f5aa8C9,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
sonic-mainnet_0xB4e1Ff7882474BB93042be9AD5E1fA387949B860,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
xdai-mainnet_0x4aAD6071085df840abD9Baf1697d5D5992bDadce,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
xdai-mainnet_0x76159c2b43ff6F630193e37EC68452169914C1Bb,,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
