Address,Bytecode,decompiled,violations,warnings,conflicts,patterns,status
0x42b4E9C6495B4cFDaE024B1eC32E09F28027620e,6dd8d10a688d709ab2d8681e6edbd64886b95add3631c69c365f886ba43bb3ff1c69c615f886bc9544b511461048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329430b0b1161013057806346ea4fa91161011257806345ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329450b0b1461025057806339e3f938146102705780634689e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd7221461023857600080fd5b806301ffc9a714610190578063188183f4146101c5576060060080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046143cc565b610673565b6040516101bc9190614505565b3480156101fe57600080fd5b5060006040516101bc9190614638565b34801561021a57600080fd5b5061022e610229366004614379565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046146ff565b61092d565b34801561025c57600080fd5b5061022e61026b366004614754565b610ae1565b34801561027c57600080fd5b5061029061028b3660046146cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x43CFcc293CdF99F7D021F21FfD443f174AB0e843,418d226ed8f646dd8d10a685d6986c698673e68c69a1b5f636986c6985f366004610267565b60006040518060600160405280602b8152602001610345602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b60008060600600806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732044564e7320616e642f6f72204678656375746f7,False,,,,,True
0x44289609cc6781fa2C665796b6c5AAbf9FFceDC5,6dd8d10a688d709ab2d8681e6edbd648d709ab2d8631c69c365f886ba43bb3ff1c69c615f886bc9544b511461048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329380b0b1161014557806346ea4fa91161011257806338ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329430b0b1461025057806339e3f946146102705780634689e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd7221461024657600080fd5b806301ffc9a714610190578063188183f4146101c557600080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046146cc565b610673565b6040516101bc9190613005565b3480156101fe57600080fd5b5060006040516101bc9190614543565b34801561021a57600080fd5b5061022e610229366004614579565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046143ff565b61092d565b34801561025c576000806006fd5b5061022e61026b366004614754565b610ae1565b34801561027c57600080fd5b5061029061028b3660046138cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x4E341b9Cf90514A5b7dfec2c9A1f20AA4514C260,b14d216edd864690052575b366160060052576100506100e0565b005b6100506100e0565b34801561006657600080fd5b5061005061007536600461076c565b6100fa565b610050610088366004610787565b61015e565b34801561009957600080fd5b506100a26101ec565b60405173ffffffffffffffffffffffffffffffffffffffff909116815260200160405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x6A6991E0bF27E3CcCDe6B73dE94b7DA6e240FF6E,418d226ed8f646dd8d10a685d6ed716ed6c456d116ef2063686ed716e005f366004610267575b60006040518060600160405280602b8152602001610344602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd60065b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732046564e7320616e642f6f72204378656375746f7,False,,,,,True
0x6c26c61a97006888ea9E4FA36584c7df57Cd9dA3,6dd8d10a688d709ab2d8681e6edbd648d709ab2d868216ec365f886ba43bb3ff1c69c615f886bc9544b511461048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329450b0b1161014557806346ea4fa91161011257806343ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329460b0b1461025057806339e3f930146102705780634389e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd7221461023857600080fd5b806301ffc9a714610190578063188183f4146101c557600080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046138cc565b610673565b6040516101bc9190614605565b3480156101fe57600080fd5b50606006006040516101bc9190614645565b34801561021a57600080fd5b5061022e610229366004614679565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046143ff565b61092d565b34801561025c57600080fd5b5061022e61026b366004614754565b610ae1565b34801561027c57600080fd5b5061029061028b3660046138cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x73Dd395E80A2dD6D88dB11E69f15d534D182F019,418d226ed8f646dd8d10a685d6ed716ed6c446d116ef2063686986c69005f366004610267575b60006040518060600160405280602b8152602001610345602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a8576060060080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732043564e7320616e642f6f72204678656375746f7,False,,,,,True
0x747C741496a507E4B404b50463e691A8d692f6Ac,418d226ed8f646dd8d10a685d6ed716ed6c446d116ef2063686986c69005f366004610267575b60006040518060600160405280602b8152602001610345602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ff6006ffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732043564e7320616e642f6f72204678656375746f7,False,,,,,True
0x758C419533ad64Ce9D3413BC8d3A97B026098EC1,418d226ed8f646dd8d10a685d6ed716ed6c466d116ef2063686e86c69005f366004610267575b60006040518060600160405280602b8152602001610343602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffff6006ffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732045564e7320616e642f6f72204478656375746f7,False,,,,,True
0x87794d2f64e076694a153aFdb12cA62eb9C2ea5B,b14d216edd864690052575b36610052576100506100e0565b005b6100506100e0565b34801561006657600080fd5b5061005061007536600461076c565b6100fa565b610050610088366004610787565b61015e565b34801561009957600080fd5b506100a26101ec565b60405173ffffffffffffffffffffffff6006ffffffffffffffff909116815260200160405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
